name,birthYear,birthCountry,trademark,directorCredits,url
Frank Darabont,1959,France,Frequently makes adaptations of stories or novels by Stephen King.,11,https://www.imdb.com/name/nm0001104/
Francis Ford Coppola,1939,USA,"Frequently casts Robert Duvall, the late John Cazale, Nicolas Cage, Diane Keaton, Matt Dillon, Harrison Ford, Laurence Fishburne and Marlon Brando.",36,https://www.imdb.com/name/nm0000338/
Christopher Nolan,1970,UK,"His films' protagonists have mostly lost their loved ones and/or failed in love, a circumstance that causes them turn into malevolent and/or apathetic forever. (e.g. Leonard in Memento (2000) has lost his wife in a brutal murder in the past, Bruce Wayne in Batman Begins (2005) has lost Rachel Dawes' faith in him throughout the film, Borden in The Prestige (2006) does not get his wife's love ...",16,https://www.imdb.com/name/nm0634240/
Sidney Lumet,1924,USA,"Highly dialogue driven films, with a lot of speeches and dramatic verbal duels.",75,https://www.imdb.com/name/nm0001486/
Steven Spielberg,1946,USA,"He is an ardent champion of the ""cutting-in-camera"" philosophy",57,https://www.imdb.com/name/nm0000229/
Peter Jackson,1961,New Zealand,"Frequently set his movies in Wellington, New Zealand",22,https://www.imdb.com/name/nm0001392/
Quentin Tarantino,1963,USA,Prefers to start most of his films with a scene before the main titles are shown,21,https://www.imdb.com/name/nm0000233/
David Fincher,1962,USA,Frequently collaborates with Trent Reznor and Atticus Ross for musical scores,94,https://www.imdb.com/name/nm0000399/
Robert Zemeckis,1951,USA,"[Opening long-take] Often utilizes long, complicated opening shots (Back to the Future (1985), Forrest Gump (1994), Contact (1997)).",33,https://www.imdb.com/name/nm0000709/
Irvin Kershner,1923,USA,Sometimes shows a robot or a cyborg being dismantled (e.g. Star Wars: Episode V - The Empire Strikes Back (1980) and RoboCop 2 (1990)).,32,https://www.imdb.com/name/nm0449984/
Lana Wachowski,1965,USA,Frequently casts Joe Pantoliano and Hugo Weaving,13,https://www.imdb.com/name/nm0905154/
Martin Scorsese,1942,USA,Frequently sets his films in New York City,69,https://www.imdb.com/name/nm0000217/
Milos Forman,1932,Czechoslovakia [now Czech Republic],"Bio-pics about unlovable celebrities (Wolfgang Amadeus Mozart, Larry Flynt, Andy Kaufman)",21,https://www.imdb.com/name/nm0001232/
Frank Capra,1897,Italy,"Often cast James Stewart, Gary Cooper, and Cary Grant",59,https://www.imdb.com/name/nm0001008/
